2. maailmansota,II maailmansota,toinen maailmansota        Vapaa Ranska
Abessinia,Etiopia,Etiopian demokraattinen tasavalta        rastafari
Amerikan alkuperäisasukas,Amerikan intiaani,amerikanintiaani,intiaani        sotapuolue
Aristoteles        todellisuus
Arthurin taru,Tarut kuningas Arthurista        Camelot
Arthurin taru,Tarut kuningas Arthurista        Camlan
Arthurin taru,Tarut kuningas Arthurista        Galahad,Sir Galahad
Arthurin taru,Tarut kuningas Arthurista        Gawain,Sir Gawain
Arthurin taru,Tarut kuningas Arthurista        Geraint,Sir Geraint
Arthurin taru,Tarut kuningas Arthurista        Guenevere,Guinevere
Arthurin taru,Tarut kuningas Arthurista        Lancelot,Sir Lancelot
Arthurin taru,Tarut kuningas Arthurista        Merlin
Brasilia,Brasilian liittotasavalta        macumba
Bysanttilainen kirkko,Ortodoksinen katolinen kirkko,Ortodoksinen kirkko,idän ortodoksinen kirkko        kanonisaatio,kanonisointi,pyhäksi julistaminen
Bysanttilainen kirkko,Ortodoksinen katolinen kirkko,Ortodoksinen kirkko,idän ortodoksinen kirkko        piispa
Church of England,Englannin kirkko,Englannin valtionkirkko,anglikaaninen kirkko,anglikaaninen kirkkokunta        1. tammikuuta,Circumcisio Christi
Church of England,Englannin kirkko,Englannin valtionkirkko,anglikaaninen kirkko,anglikaaninen kirkkokunta        arkkidiakoni,tuomiorovasti
Church of England,Englannin kirkko,Englannin valtionkirkko,anglikaaninen kirkko,anglikaaninen kirkkokunta        iltahartaus
Church of England,Englannin kirkko,Englannin valtionkirkko,anglikaaninen kirkko,anglikaaninen kirkkokunta        kirkkoherra,pastori
Church of England,Englannin kirkko,Englannin valtionkirkko,anglikaaninen kirkko,anglikaaninen kirkkokunta        kirkkoväärtin apulainen
Church of England,Englannin kirkko,Englannin valtionkirkko,anglikaaninen kirkko,anglikaaninen kirkkokunta        piispa
Cosa Nostra,Mafia        omertà
C. G. Jung,Carl Gustav Jung,Carl Jung,Jung        anima
C. G. Jung,Carl Gustav Jung,Carl Jung,Jung        kuva<approximate/>,persoona
Einsteinin suhteellisuusteoria,suhteellisuusteoria        tapahtuma
Ensimmäinen Mooseksen kirja        Baabelin torni,Babel,Babylonin torni
Haiti,Haitin tasavalta        voodoo
Ilmestyskirja,Johanneksen ilmestys,ilmestyskirja        neljä ratsastajaa
Jamaika        rastafari,rastat
Jiddis        chutzpanik,öykkäri
Jiddis        chutzpa,chutzpah,hutzpah
Jiddis        hely
Jiddis        hiirulainen,tomppeli
Jiddis        huijari,petturi,puliveivari,varas
Jiddis        hulluus,järjettömyys,älyttömyys
Jiddis        hullu,järjetön,älytön
Jiddis        hullu,mielipuoli
Jiddis        hupakko<approximate/><unconfirmed/>
Jiddis        hyvä ihminen<approximate/>
Jiddis        hölmö
Jiddis        juoruilija
Jiddis        knish
Jiddis        kärsimys
Jiddis        mahtailija
Jiddis        marisija,valittaja<broader/>
Jiddis        mispacha
Jiddis        mäntti,törppö
Jiddis        pareve,parve
Jiddis        pisha pasha
Jiddis        pummaaja
Jiddis        rinkeli<approximate/>
Jiddis        rupattelu
Jiddis        schemozzle,shemozzle
Jiddis        schlemiel,shlemiel
Jiddis        schlimazel,shlimazel
Jiddis        schmear,schmeer,shmear
