aaria,ooppera 49 796
aava,merta 19 603
aitta,orsi 28 492
ajattaa,parta 136 2711
alainen,pohdinta 49 972
alamaisuus,anoa 19 578
alastomuus,hävetä 48 1071
alho,suru 17 546
ammatti,värjäri 19 607
analyysi,kemiallinen 19 489
anoa,alamaisuus 19 578
ansas,elatus 29 907
arkinen,askare 29 760
armahtaa,kohtu 29 1184
armias,auttaja 29 663
armollinen,esitys 17 414
armollinen,julistus 16 410
arvoisa,sulkeutua 23 509
askare,arkinen 29 760
asutus,tiheä 38 788
aueta,eteeni 19 376
aukaisija,ura 49 697
aukoa,ura 28 908
auttaja,armias 29 663
balsamoida,ruumis 19 386
eheys,sisäinen 19 431
ehjä,nahka 36 1644
ehtoollinen,vietto 19 1467
eksyä,tyhmä 13 337
elatus,ansas 29 907
enin,levitä 28 488
esitys,armollinen 17 414
esteetön,pääsy 19 643
eteeni,aueta 19 376
etelä,parveke 15 449
eversti,komentaja 27 575
filharmoninen,orkesteri 29 856
filosofia,kandidaatti 203 2214
filosofia,maisteri 121 2199
fysiikka,professori 29 501
haihtua,kosteus 35 618
haitallinen,vaikutus 17 410
hakemus,peruuttaa 19 374
halko,syltä 39 1796
halullinen,ostaja 39 1315
hammastaa,purra 305 4064
harjata,hammas 42 771
harrastaja,raittius 59 946
hattu,vaatettaa 16 462
haulikko,ladata 19 512
hedelmöidä,ruis 19 532
hehto,kaura 19 478
heikentyä,terveys 29 579
heilua,hiha 17 744
heinä,kuormata 19 463
heitto,keihäs 28 785
helkkyä,soida 19 397
hellittää,kukkaro 75 933
helpotus,huokaista 117 2018
henkäys,tuulla 18 392
herne,vihreä 46 796
herättäjä,kansallinen 19 570
hevonen,kengitys 28 817
hieho,poikia 19 475
hieroa,kaupata 19 438
hima,orja 43 778
hima,orjuus 19 380
hinata,proomu 29 704
hipoa,pilvi 28 548
hius,leikkauttaa 19 635
holhooja,suostumus 47 1675
huimata,korkeus 17 388
huokaista,helpotus 117 2018
huolehtia,muonitus 19 382
hurraa,huuto 45 1005
hurrata,huuto 25 1208
huuhdella,vedellä 28 600
huuli,punata 35 611
huuli,saastainen 11 449
huumata,tuoksua 35 635
huutava,puute 17 354
huuto,hurraa 45 1005
huuto,hurrata 25 1208
huveta,olematon 29 606
hyökkäävä,vihollinen 19 475
hämärä,peitto 38 978
hävetä,alastomuus 48 1071
hävittää,syöpäläinen 27 489
häätää,torppari 58 1234
höylätä,lauta 157 2838
ilmata,keuhko 19 392
imettää,lastata 19 444
istuutua,pöydätä 26 504
itsenäinen,julistautua 39 1545
jakamaton,suosio 19 1250
janota,sammuttaa 37 553
janota,vanhurskaus 19 412
jauhattaa,ruis 19 391
jauhattaa,vilja 69 1133
juhlallinen,päättäjäinen 19 842
julistautua,itsenäinen 39 1545
julistus,armollinen 16 410
juoda,päihdyttää 36 1114
juokseva,tili 38 1475
juominen,päihdyttää 29 487
juonia,punoa 59 1001
juusto,valmistus 18 743
juutalainen,synagoga 29 630
jyrkkä,paheksua 25 564
jyskyä,sydän 15 335
jäljennös,todistaa 17 384
jälkeenjäänyt,omaisuus 37 576
jälkeinen,pyhä 11 448
jännittää,seikkailu 16 708
järeä,tykistö 158 2217
jäähdyttää,vedellä 19 440
kaarti,maneesi 29 706
kaarti,pataljoona 107 1817
kaataa,kasketa 39 605
kaitsea,lauma 39 599
kaivaa,kuopata 86 2166
kandidaatti,filosofia 203 2214
kandidaatti,teologia 19 512
kandidaatti,tutkinto 28 1650
kannel,säestys 19 1312
kansallinen,herättäjä 19 570
kanslia,tirehtööri 19 383
kantoinen,tonni 29 1175
kapsahtaa,kataja 99 1311
kapsäkki,pakata 19 522
karsia,vääryys 36 714
kasarmi,pataljoona 58 1229
kasarmi,rykmentti 18 362
kasketa,kaataa 39 605
kaste,peso 19 415
kataja,kapsahtaa 99 1311
kattila,soimata 110 1419
kaupata,hieroa 19 438
kaura,hehto 19 478
kavahtaa,pysty 19 669
kehrätä,lanko 27 901
keko,korsi 128 3767
keksintö,mullistaa 19 510
kelvata,syötävä 37 758
kemiallinen,analyysi 19 489
kemiallinen,kokoomus 69 947
kemiallinen,laboratorio 49 1626
kemiallinen,reaktio 29 549
kemia,orgaaninen 39 812
kemia,professori 38 576
kengitys,hevonen 28 817
kerma,vatkata 29 1110
kermoa,maito 19 503
keuhko,ilmata 19 392
keuhko,tulehdus 29 479
kihlattu,morsian 179 3678
kiivas,väitellä 25 594
kipinä,singahtaa 29 575
kirnuta,kerma 19 517
kirurginen,sairaala 29 3432
kitara,soitto 27 571
kodikas,tunnelma 18 364
kohtelu,rehellinen 14 453
kokoomus,kemiallinen 69 947
kolera,saastuttaa 19 689
kolera,sairastua 39 2518
kolmio,muotoinen 59 1018
komentaja,eversti 27 575
komentaja,rykmentti 121 1610
konttori,vouti 29 669
koristella,köynnös 29 1005
korkeus,huimata 17 388
korpi,kätkö 50 715
korsi,keko 128 3767
korvallinen,kynsiä 69 956
kostea,riepu 18 372
kosteus,haihtua 35 618
koventaa,rangaistus 19 738
kukkaro,hellittää 75 933
kunnioittava,tervehdys 37 828
kuolo,nukkua 50 1059
kuolo,uni 104 1820
kuolo,vaipua 41 1417
kuopata,kaivaa 86 2166
kuormata,heinä 19 463
kuosi,uusinta 29 2093
kuppi,teettää 35 754
kurkku,täky 17 433
kuuma,vedellä 25 972
kynttilä,suitsea 38 772
kynttilä,vakka 167 3856
kynä,ruostua 18 502
käpälä,ruskea 24 446
kätkö,korpi 50 715
käypä,höyry 19 396
käytös,nuhteeton 53 1109
laajenema,laajeta 39 1411
laajeta,laajenema 39 1411
laboratorio,kemiallinen 49 1626
ladata,haulikko 19 512
laimentaa,vedellä 39 854
langaton,lennätin 39 841
langaton,sähköttää 29 1097
langaton,sähkötys 19 465
lapsuus,vietti 18 361
lastata,imettää 19 444
lastata,proomu 19 690
laukata,täky 19 2881
lauma,kaitsea 39 599
lauma,piskuinen 59 2185
laupias,samarialainen 109 1439
leikata,silppu 19 555
leikkauttaa,hius 19 635
leikkauttaa,tukka 106 1695
leipuri,sälli 19 751
leninki,ommella 18 549
lennätin,langaton 39 841
levitä,enin 28 488
likööri,pullo 19 561
litra,vetoinen 19 1035
loksahtaa,leuka 19 510
lukkari,urkuri 38 970
luvaton,metsästys 19 1104
lyhde,olki 29 541
lyseo,rehtori 39 724
lyöttyä,rikki 19 417
läntinen,lääni 27 497
läpi,siivilä 38 806
löytäjä,rehellinen 28 864
mahdottomuus,sulaa 44 1200
maine,veroinen 27 1065
maisteri,filosofia 121 2199
maittaa,manner 29 674
maltillinen,oikeisto 19 496
maneesi,kaarti 29 706
manner,maittaa 29 674
marssia,porilainen 19 532
matkustaja,yöpyä 18 1159
maukas,kahvi 17 409
mennyt,mytty 15 409
merta,aava 19 603
metsästys,luvaton 19 1104
miedontaa,vedellä 19 734
morsian,kihlattu 179 3678
mukailla,suomentaa 109 3419
mullistaa,keksintö 19 510
muna,vatkata 19 726
muonitus,huolehtia 19 382
muotoinen,kolmio 59 1018
musta,tupsu 22 599
mytty,mennyt 15 409
nauraa,parras 61 1144
nauris,siemen 37 628
nautinto,ylellinen 18 369
nelikko,silakka 19 914
nelikko,suolata 19 469
nenä,nuuskata 67 1197
nopeus,solmu 27 1747
nuhteeton,käytös 53 1109
nukki,leikkiä 19 441
nukkua,kuolo 50 1059
nuolla,näppi 68 1393
nuuskata,nenä 67 1197
nyplätä,pitsi 19 606
näkö,sokki 68 1125
näppi,nuolla 68 1393
näppärä,sormi 39 802
ohdakkeinen,polku 19 1070
ohra,ryyni 19 734
ohut,viipale 58 1185
oikeisto,maltillinen 19 496
oikeisto,äärimmäinen 69 1225
olematon,huveta 29 606
olematon,pyyhkäistä 28 583
olki,lyhde 29 541
omaisuus,jälkeenjäänyt 37 576
ommella,leninki 18 549
onnitella,sydämellinen 18 641
onnittelu,sydämellinen 39 1113
ooppera,aaria 49 796
ori,raudikko 39 1217
orjuus,hima 19 380
orkesteri,filharmoninen 29 856
orkesteri,säestys 29 831
orsi,aitta 28 492
orvokki,tuoksua 38 566
ostaja,halullinen 39 1315
otsa,pilkku 30 640
ovi,sulje 25 456
paari,ääri 34 1118
paheksua,jyrkkä 25 564
painoinen,kilo 208 2472
paistua,uuni 74 1119
