aallokko,päilyä 197 1
aikainen,lapsuus 446 22
airo,purje 230 1
aita,hypätä 410 16
alainen,joutua 298 10
alempi,ylempi 509 17
alentaa,arvo 430 22
alentaa,ääni 330 8
alhainen,ylhäinen 1011 60
allikko,oja 345 7
anoa,apu 434 9
antautua,valta 328 1
apulainen,rovasti 194 1
armahtaa,herra 314 7
armollinen,neiti 460 16
armollinen,rouva 686 33
arvoisa,neiti 434 14
asema,edullinen 236 5
asema,juna 287 6
ase,varustaa 321 14
askele,jouduttaa 559 17
avain,lukita 269 1
avautua,sulkeutua 235 1
dollari,maksaa 460 7
dollari,sentti 402 7
edellinen,jälkimmäinen 337 5
edullinen,asema 236 5
edustaja,herännäisyys 305 3
ehdotus,hyväksyä 901 28
ehdotus,suostua 910 12
eilinen,muistaa 243 2
elävä,kuollut 377 7
emäntä,leijona 206 2
enkeli,perkele 331 7
ensimmäinen,julkaista 535 4
entisyys,nykyisyys 384 3
epäilys,poistaa 291 8
erilainen,luonne 233 3
estää,näkymä 356 2
eteläinen,pohjoinen 351 6
frangi,maksaa 280 3
haapa,vavista 281 1
haavoittua,kaatua 265 4
hajaantua,taho 256 4
hakea,lähettää 221 1
halvaus,kuolla 223 1
harjoittaja,taide 246 2
harjoittaja,tiede 258 6
hattu,takki 215 3
heinä,niittää 671 6
heittäytyä,kaula 423 16
heittää,arpa 607 14
heittää,hyvästi 704 17
heittää,silmäys 477 29
hengitys,kuunnella 213 1
herännyt,pappi 592 38
herännyt,piiri 294 5
herännyt,sikäläinen 322 1
herännäisyys,edustaja 305 3
herättää,levottomuus 245 3
hevonen,kannustaa 573 16
hevonen,kopse 227 2
hiiri,rotta 322 2
hiljaisuus,syntyä 342 6
hius,sukia 240 2
hoitaa,talous 1213 60
hopea,kulta 1451 39
horjahtaa,kaatua 349 2
horna,luola 695 1
housu,takki 373 19
hukka,periä 860 12
humala,juoda 381 2
huokaus,päästää 308 3
huomen,hyvä 628 16
huudahdus,päästää 335 12
huutaa,meluta 222 1
huuto,päästää 330 3
hymy,veitikkamainen 417 15
hypätä,aita 410 16
hypätä,selkä 305 12
hyväksyä,ehdotus 901 28
hyväksyä,nyökäyttää 415 2
hyvästi,heittää 704 17
hyöriä,pyöriä 661 12
häpeä,synti 237 2
ilme,veitikkamainen 191 1
iloinen,puhelias 197 1
iloita,riemuita 217 3
isäntä,leijona 260 6
itkeä,valittaa 242 4
itäinen,läntinen 328 6
ivata,pilkata 224 3
jakaa,osasto 261 3
jatkua,keskustelu 384 9
johtua,mieli 406 8
joki,silta 240 1
joki,uoma 471 27
joki,varsi 331 5
jouduttaa,askele 559 17
joutua,alainen 298 10
joutua,tappio 586 37
julkaista,ensimmäinen 535 4
julkaista,teos 511 29
jumaluus,kehittyä 244 2
juoda,humala 381 2
juoda,syödä 312 2
juominen,syöminen 410 3
juottaa,syöttää 516 7
juttu,kertoa 303 11
jälkimmäinen,edellinen 337 5
jälki,seurata 257 4
kaatua,haavoittua 265 4
kaatua,horjahtaa 349 2
kaatua,kompastua 377 10
kadota,näkyvä 1419 112
kahdeksas,kohtaus 845 3
kahdeksas,luku 578 21
kahveli,veitsi 794 22
kannel,synty 551 36
kannustaa,hevonen 573 16
kapina,nousta 267 7
katumus,parannus 422 4
katu,tori 240 1
kaulus,tarttua 403 19
kehittyä,jumaluus 244 2
keittää,paistaa 272 3
kello,viisi 295 9
kenkä,sukka 719 10
kersantti,tytär 234 1
kertoa,juttu 303 11
kertomus,välskäri 573 7
keskustelu,jatkua 384 9
kesä,syksy 268 1
kesä,talvi 408 8
kevät,kesä 245 1
kevät,talvi 249 5
kierros,tehdä 223 4
kietoa,vyötäinen 371 15
kiinnittää,nuora 266 5
kiitollisuus,kunnioitus 214 1
kiitollisuus,osoittaa 363 17
kiitos,kunnia 226 3
kiitos,kysymä 503 4
kiitos,tuhat 241 2
kiitos,ylistys 423 5
kiittää,nöyrä 415 5
kiittää,ylistää 469 11
kirjallisuus,suomalainen 1071 53
kirjallisuus,taide 353 1
kirje,lukea 278 5
kirje,päivätä 485 7
kirje,sinetti 255 7
kirjoa,kirje 291 11
kirjoitus,lukea 259 3
kirous,siunaus 331 8
kiusaus,vastustaa 468 4
kiveliö,kävijä 348 11
kohtaus,kahdeksas 845 3
kohtaus,kolmas 593 6
kohtaus,neljäs 1060 6
kohtaus,seitsemäs 948 1
kohtaus,viides 1170 11
kohtelias,ystävällinen 256 5
koivu,leppä 195 1
koivu,pihlaja 256 2
kokonainen,lauma 253 1
kokonainen,sarja 341 1
komeus,loisto 665 8
kompastua,kaatua 377 10
kontu,koti 249 4
