minä    min     ä       u       u       u       u       u       u       u       u       u       u       uu      u       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !
me      me      .       it      idä     i       i       i       i       i       i       i       i       ihi     !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !
sinä    sin     ä       u       u       u       u       u       u       u       u       u       u       uu      u       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !
te      te      .       it      idä     i       i       i       i       i       i       i       i       ihi     !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !
hän     hän     .       t       e       e       e       e       e       e       e       e       e       ee      e       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !
he      he      .       it      idä     i       i       i       i       i       i       i       i       ihi     !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !
tämä    tä      mä      t       mä      .       .       .       .       .       .       !       .       hä      !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !
nämä    nä      mä      it      itte    i       i       i       i       i       i       i       i       ihi     !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !
tuo     tuo     .       t       .       .       .       .       .       .       .       !       .       ho      !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !
nuo     n       uo      oit     oitte   oi      oi      oi      oi      oi      oi      oi      oi      oihi    !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !
se      s       e       it      e       !       !       i       i       i       i       !       i       iihe    !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !
ne      n       e       iit     iide    ii      ii      ii      ii      ii      ii      ii      ii      iihi    !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !       !
itse    its     e       e       e       e       e       e       e       e       e       e       e       ee      e       e       e       e       e       e       e       e       e       e       !       e       !       !       !       e       i       !       !       !       !       !
joku    jo      ku      takut   nku     ssaku   staku   llaku   ltaku   lleku   ksiku   !       naku    honkuhu tku     issaku  istaku  illaku  iltaku  illeku  iksiku  ittaku  inku    inaku   !       !       itaku   !       !       ihinku  !       !       idenku  ittenku         !       !
kuka    ku      ka      t       nka-    .       .       .       .       .       .       !       .       hu      tka     .       .       .       .       .       .       .       !       .      !       !       !       !       !       .       !       !       .       .       !       !
ken     ke      n       t       ne      ne      ne      ne      ne      ne      ne      ne      ne      he     !        .       .       .       .       .       .       .       !       .       !       !       .       !       !       .       !       !       .       .       !       !
mikä    m       ikä     it      !       i       i       i       i       i       i       !       i       ihi     !       .       .       .       .       .       .       !       !       .       !       !       .       !       !       .       !       !       !       !       !       !
joka    jo      ka      t       !       .       .       .       .       .       .       !       .       ho      !       .       .       .       .       .       .       .       !       .       !       !       .       !       !       .       !       !       .       .       !       !
jompi   jom     pi      pa     ma      ma      ma      ma      ma      ma      ma      ma      pa      paa     ma      m       m       m       m       mi      m       m       m       p       pi      !       !       pi      !       !       pi      !       !       !       pa      !
jompikumpi      jom     pikumpi         paakumpa        mankumma        massakumma      mastakumma      mallakumma      maltakumma      mallekumma      maksikumma      mattakumma      panakumpa       paankumpaa      matkumma        missakumm       mistakumm       millakumm       miltakumm       millekumm       miksikumm       mittakumm       minkumm         pinakump        piakumpi        !       !       piinkumpi       !       !       pienkumpi       !       !       !       painkumpa       !
